"product_id","laboratory_id","type","created_at","updated_at"
11826,2000274,MANUFACTURER,2024-05-29 15:03:27.264 +0200,2024-05-29 15:03:27.264 +0200
11828,2000274,MANUFACTURER,2024-05-29 15:03:27.347 +0200,2024-05-29 15:03:27.347 +0200
11830,2000274,MANUFACTURER,2024-05-29 15:03:27.453 +0200,2024-05-29 15:03:27.453 +0200
11831,2000274,MANUFACTURER,2024-05-29 15:03:27.523 +0200,2024-05-29 15:03:27.523 +0200
11832,2000274,MANUFACTURER,2024-05-29 15:03:27.599 +0200,2024-05-29 15:03:27.599 +0200
11833,2000274,MANUFACTURER,2024-05-29 15:03:27.725 +0200,2024-05-29 15:03:27.725 +0200
11834,2000274,MANUFACTURER,2024-05-29 15:03:27.810 +0200,2024-05-29 15:03:27.810 +0200
11818,2000274,MANUFACTURER,2024-05-29 15:03:27.961 +0200,2024-05-29 15:03:27.961 +0200
5335,919,COMERCIALIZER,2023-12-04 15:46:50.509 +0100,2023-12-04 15:46:50.509 +0100
11836,2000274,COMERCIALIZER,2024-05-29 15:03:28.119 +0200,2024-05-29 15:03:28.119 +0200
11821,2000274,MANUFACTURER,2024-05-29 15:03:28.223 +0200,2024-05-29 15:03:28.223 +0200
11829,2000274,MANUFACTURER,2024-05-29 15:03:28.302 +0200,2024-05-29 15:03:28.302 +0200
11568,2000274,MANUFACTURER,2024-05-29 15:03:28.368 +0200,2024-05-29 15:03:28.368 +0200
11837,2000274,COMERCIALIZER,2024-05-29 15:03:28.433 +0200,2024-05-29 15:03:28.433 +0200
11838,2000274,MANUFACTURER,2024-05-29 15:03:28.531 +0200,2024-05-29 15:03:28.531 +0200
11839,2000274,COMERCIALIZER,2024-05-29 15:03:28.639 +0200,2024-05-29 15:03:28.639 +0200
11840,2000274,MANUFACTURER,2024-05-29 15:03:28.707 +0200,2024-05-29 15:03:28.707 +0200
11827,2000274,COMERCIALIZER,2024-05-29 15:03:28.787 +0200,2024-05-29 15:03:28.787 +0200
11842,2000274,COMERCIALIZER,2024-05-29 15:03:29.028 +0200,2024-05-29 15:03:29.028 +0200
11551,2000274,MANUFACTURER,2024-05-29 15:03:29.096 +0200,2024-05-29 15:03:29.096 +0200
11843,2000274,MANUFACTURER,2024-05-29 15:03:29.180 +0200,2024-05-29 15:03:29.180 +0200
3032,2000000,COMERCIALIZER,2025-01-21 17:54:18.446 +0100,2025-01-21 17:54:18.446 +0100
3034,2000074,COMERCIALIZER,2025-01-21 17:54:18.629 +0100,2025-01-21 17:54:18.629 +0100
3036,2000113,COMERCIALIZER,2025-01-21 17:54:18.838 +0100,2025-01-21 17:54:18.838 +0100
3038,2000074,COMERCIALIZER,2025-01-21 17:54:19.035 +0100,2025-01-21 17:54:19.035 +0100
3040,2000177,COMERCIALIZER,2025-01-21 17:54:19.189 +0100,2025-01-21 17:54:19.189 +0100
3041,2000177,COMERCIALIZER,2025-01-21 17:54:19.400 +0100,2025-01-21 17:54:19.400 +0100
